device_class,device_name,backend,llamacpp_commit,patch_applied,variant,mmproj_variant,mode,prompt_tokens,image_tokens,audio_tokens,audio_seconds,gen_tokens,run_idx,thermal_state,ttft_ms,encoder_ms,prefill_tps,decode_tps,total_ms,peak_rss_gb,peak_vram_gb,avg_power_w,idle_power_w,energy_j_per_1k_tok,notes
unified-memory-laptop,MacBook Pro / Apple M4 Pro 14-core / 24 GB unified,Metal,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-128,128,,,,256,1,sustained,155,,833,28.3,9170,10.3,unified (no discrete VRAM),19.3,0.6,657,"mmap=off; encoder_ms folded into ttft_ms (llama-server does not report it); vm_stat delta (system-wide) swapin=638 swapout=0 compress=16149; high system-wide memory compression during run but swapout=0 (nothing paged to disk); within-cell decode_tps CV<=0.5%, no measurable throughput impact"
unified-memory-laptop,MacBook Pro / Apple M4 Pro 14-core / 24 GB unified,Metal,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-128,128,,,,256,2,sustained,154,,837,28.4,9130,10.3,unified (no discrete VRAM),19.4,0.6,658,"mmap=off; encoder_ms folded into ttft_ms (llama-server does not report it); vm_stat delta (system-wide) swapin=14936 swapout=0 compress=43906; high system-wide memory compression during run but swapout=0 (nothing paged to disk); within-cell decode_tps CV<=0.5%, no measurable throughput impact"
unified-memory-laptop,MacBook Pro / Apple M4 Pro 14-core / 24 GB unified,Metal,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-128,128,,,,256,3,sustained,156,,833,28.5,9090,10.2,unified (no discrete VRAM),18.7,0.6,633,"mmap=off; encoder_ms folded into ttft_ms (llama-server does not report it); vm_stat delta (system-wide) swapin=114 swapout=0 compress=15484; high system-wide memory compression during run but swapout=0 (nothing paged to disk); within-cell decode_tps CV<=0.5%, no measurable throughput impact"
unified-memory-laptop,MacBook Pro / Apple M4 Pro 14-core / 24 GB unified,Metal,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-128,128,,,,256,4,sustained,155,,831,28.6,9080,10.2,unified (no discrete VRAM),18.6,0.6,629,"mmap=off; encoder_ms folded into ttft_ms (llama-server does not report it); vm_stat delta (system-wide) swapin=72 swapout=0 compress=4844; high system-wide memory compression during run but swapout=0 (nothing paged to disk); within-cell decode_tps CV<=0.5%, no measurable throughput impact"
unified-memory-laptop,MacBook Pro / Apple M4 Pro 14-core / 24 GB unified,Metal,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-128,128,,,,256,5,sustained,154,,839,28.5,9090,10.2,unified (no discrete VRAM),18.7,0.6,631,"mmap=off; encoder_ms folded into ttft_ms (llama-server does not report it); vm_stat delta (system-wide) swapin=56 swapout=0 compress=31195; high system-wide memory compression during run but swapout=0 (nothing paged to disk); within-cell decode_tps CV<=0.5%, no measurable throughput impact"
unified-memory-laptop,MacBook Pro / Apple M4 Pro 14-core / 24 GB unified,Metal,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-512,513,,,,256,1,sustained,610,,842,28.4,9590,10.3,unified (no discrete VRAM),19.4,0.6,658,mmap=off; encoder_ms folded into ttft_ms (llama-server does not report it); vm_stat delta (system-wide) swapin=60 swapout=0 compress=0
unified-memory-laptop,MacBook Pro / Apple M4 Pro 14-core / 24 GB unified,Metal,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-512,513,,,,256,2,sustained,611,,842,28.4,9580,10.3,unified (no discrete VRAM),18.9,0.6,640,mmap=off; encoder_ms folded into ttft_ms (llama-server does not report it); vm_stat delta (system-wide) swapin=128 swapout=0 compress=0
unified-memory-laptop,MacBook Pro / Apple M4 Pro 14-core / 24 GB unified,Metal,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-512,513,,,,256,3,sustained,611,,843,28.4,9590,10.3,unified (no discrete VRAM),19.7,0.6,670,mmap=off; encoder_ms folded into ttft_ms (llama-server does not report it); vm_stat delta (system-wide) swapin=48 swapout=0 compress=0
unified-memory-laptop,MacBook Pro / Apple M4 Pro 14-core / 24 GB unified,Metal,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-512,513,,,,256,4,sustained,612,,842,28.4,9590,10.3,unified (no discrete VRAM),19.3,0.6,658,mmap=off; encoder_ms folded into ttft_ms (llama-server does not report it); vm_stat delta (system-wide) swapin=24 swapout=0 compress=0
unified-memory-laptop,MacBook Pro / Apple M4 Pro 14-core / 24 GB unified,Metal,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-512,513,,,,256,5,sustained,611,,842,28.4,9590,10.3,unified (no discrete VRAM),18.8,0.6,638,mmap=off; encoder_ms folded into ttft_ms (llama-server does not report it); vm_stat delta (system-wide) swapin=28 swapout=0 compress=0
