device_class,device_name,backend,llamacpp_commit,patch_applied,variant,mmproj_variant,mode,prompt_tokens,image_tokens,audio_tokens,audio_seconds,gen_tokens,run_idx,thermal_state,ttft_ms,encoder_ms,prefill_tps,decode_tps,total_ms,peak_rss_gb,peak_vram_gb,avg_power_w,idle_power_w,energy_j_per_1k_tok,notes,power_boundary,avg_power_w_raw,power_samples_used,device_id,source_file,source_row
discrete-gpu-laptop,"RTX 4090 Laptop GPU (ASUS ROG, 16GB VRAM)",CUDA,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-128,138,,,,256,1,sustained,245.558,,1033.507,48.821,5468.751,8.1966,12.291,112.671,11.139,2071.427,,gpu-package (nvidia-smi power.draw; CPU package not captured),,,D1,rtx/results.csv,1
discrete-gpu-laptop,"RTX 4090 Laptop GPU (ASUS ROG, 16GB VRAM)",CUDA,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-128,138,,,,256,2,sustained,267.156,,1160.083,49.032,5467.828,8.1966,12.291,109.357,11.139,1994.861,,gpu-package (nvidia-smi power.draw; CPU package not captured),,,D1,rtx/results.csv,2
discrete-gpu-laptop,"RTX 4090 Laptop GPU (ASUS ROG, 16GB VRAM)",CUDA,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-128,138,,,,256,3,sustained,248.629,,1009.783,49.142,5437.627,8.1967,12.291,109.169,11.139,1987.544,,gpu-package (nvidia-smi power.draw; CPU package not captured),,,D1,rtx/results.csv,3
discrete-gpu-laptop,"RTX 4090 Laptop GPU (ASUS ROG, 16GB VRAM)",CUDA,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-128,138,,,,256,4,sustained,231.764,,1329.3,48.775,5459.864,8.1968,12.291,109.422,11.139,2006.23,,gpu-package (nvidia-smi power.draw; CPU package not captured),,,D1,rtx/results.csv,4
discrete-gpu-laptop,"RTX 4090 Laptop GPU (ASUS ROG, 16GB VRAM)",CUDA,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-128,138,,,,256,5,sustained,275.05,,1144.089,49.153,5462.938,8.1968,12.291,107.528,11.139,1952.602,,gpu-package (nvidia-smi power.draw; CPU package not captured),,,D1,rtx/results.csv,5
discrete-gpu-laptop,"RTX 4090 Laptop GPU (ASUS ROG, 16GB VRAM)",CUDA,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-512,523,,,,256,1,sustained,393.071,,3102.477,49.074,5589.279,8.09,12.291,106.728,11.139,1938.944,,gpu-package (nvidia-smi power.draw; CPU package not captured),,,D1,rtx/results.csv,6
discrete-gpu-laptop,"RTX 4090 Laptop GPU (ASUS ROG, 16GB VRAM)",CUDA,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-512,523,,,,256,2,sustained,347.608,,2612.048,48.621,5592.27,8.0901,12.291,107.979,11.139,1983.705,,gpu-package (nvidia-smi power.draw; CPU package not captured),,,D1,rtx/results.csv,7
discrete-gpu-laptop,"RTX 4090 Laptop GPU (ASUS ROG, 16GB VRAM)",CUDA,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-512,523,,,,256,3,sustained,314.02,,2913.893,49.381,5477.983,8.0901,12.291,111.525,11.139,2024.574,,gpu-package (nvidia-smi power.draw; CPU package not captured),,,D1,rtx/results.csv,8
discrete-gpu-laptop,"RTX 4090 Laptop GPU (ASUS ROG, 16GB VRAM)",CUDA,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-512,523,,,,256,4,sustained,289.161,,3042.29,49.621,5428.148,8.0901,12.291,109.734,11.139,1978.89,,gpu-package (nvidia-smi power.draw; CPU package not captured),,,D1,rtx/results.csv,9
discrete-gpu-laptop,"RTX 4090 Laptop GPU (ASUS ROG, 16GB VRAM)",CUDA,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-512,523,,,,256,5,sustained,294.623,,3100.564,48.816,5518.364,8.0901,12.291,111.495,11.139,2047.512,,gpu-package (nvidia-smi power.draw; CPU package not captured),,,D1,rtx/results.csv,10
discrete-gpu-laptop,"RTX 4090 Laptop GPU (ASUS ROG, 16GB VRAM)",CUDA,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-2048,2058,,,,256,1,sustained,691.07,,3834.652,48.004,6003.157,8.0963,12.291,109.1,11.139,2032.506,,gpu-package (nvidia-smi power.draw; CPU package not captured),,,D1,rtx/results.csv,11
discrete-gpu-laptop,"RTX 4090 Laptop GPU (ASUS ROG, 16GB VRAM)",CUDA,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-2048,2058,,,,256,2,sustained,643.83,,4152.626,47.688,5991.063,8.0965,12.291,111.225,11.139,2090.397,,gpu-package (nvidia-smi power.draw; CPU package not captured),,,D1,rtx/results.csv,12
discrete-gpu-laptop,"RTX 4090 Laptop GPU (ASUS ROG, 16GB VRAM)",CUDA,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-2048,2058,,,,256,3,sustained,627.866,,4215.442,48.397,5896.835,8.0965,12.291,109.187,11.139,2018.157,,gpu-package (nvidia-smi power.draw; CPU package not captured),,,D1,rtx/results.csv,13
discrete-gpu-laptop,"RTX 4090 Laptop GPU (ASUS ROG, 16GB VRAM)",CUDA,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-2048,2058,,,,256,4,sustained,653.44,,4108.449,47.652,6004.75,8.0966,12.291,110.198,11.139,2070.24,,gpu-package (nvidia-smi power.draw; CPU package not captured),,,D1,rtx/results.csv,14
discrete-gpu-laptop,"RTX 4090 Laptop GPU (ASUS ROG, 16GB VRAM)",CUDA,ea63b4d32ea1b66bdbe369be7f9443f6c00f8b31,yes,BF16,audio+vision,text-2048,2058,,,,256,5,sustained,631.772,,4232.33,48.028,5941.144,8.0966,12.291,110.799,11.139,2066.408,,gpu-package (nvidia-smi power.draw; CPU package not captured),,,D1,rtx/results.csv,15
